,type,Ret,IR,Calmar,Turnover,PNL,Cost,Asset,threshold,Sample,fee
131,IH.CFE,0.15441727327251817,1.4546427959313775,1.7579978661898736,0.41492636424309065,333228120.0,134487370.14,532074083.19333357,0.8,in_sample,0.0005
132,ALL,0.1643685874031657,1.872011428023883,2.7441726409706653,0.42872320158206856,1051435380.0000004,416790000.86,1634645379.1400008,0.9,in_sample,0.0005
133,IC.CFE,0.13093058057438872,1.195928601291346,2.001571945747829,0.41973237172654415,304643160.00000036,136130653.51999998,501845839.81333363,0.9,in_sample,0.0005
134,IF.CFE,0.20030581810877668,1.9372062102588337,3.6244913673881616,0.43004859808285917,397009620.0,139208613.36,591134339.9733329,0.9,in_sample,0.0005
135,IH.CFE,0.16186936352633174,1.4836475687292132,1.7899767184178499,0.4363886349368023,349782600.0,141450733.98000002,541665199.3533343,0.9,in_sample,0.0005
136,ALL,0.171072753596547,1.9093053313911859,2.899061261064311,0.44528182202458133,1093458720.0000005,432927810.28,1660530909.720001,1.0,in_sample,0.0005
137,IC.CFE,0.1374249698417269,1.2284540738358811,1.9986732779747534,0.43578852523310796,318245640.0000003,141374614.0,510204359.3333337,1.0,in_sample,0.0005
138,IF.CFE,0.20865722588546687,1.989217213206217,3.9252208490184657,0.44620965583448097,412994340.0,144444762.24,601882911.0933323,1.0,in_sample,0.0005
139,IH.CFE,0.16713606506244735,1.4964023352202351,1.782557521986061,0.4538472850061552,362218740.0,147108434.04,548443639.293335,1.0,in_sample,0.0005
140,ALL,0.17795256844143884,1.9579570760502714,3.1081697491152664,0.45727738966191556,1131702020.0000002,444607380.74,1687094639.26,1.1,in_sample,0.0005
141,IC.CFE,0.1461361790434538,1.2814723389722773,2.112207889676824,0.44788353714380286,333391880.00000036,145309205.12,521416008.213334,1.1,in_sample,0.0005
142,IF.CFE,0.21536927999999902,2.028403957972025,4.1978041197810265,0.45836233365631013,425581260.0,148393020.0,610521573.3333321,1.1,in_sample,0.0005
143,IH.CFE,0.1723522462808637,1.5236176084355917,1.831407365924691,0.46558629818563363,372728880.0,150905155.62,555157057.7133338,1.1,in_sample,0.0005
144,ALL,0.1816836999021581,1.9831780167846402,3.1500567376357282,0.46537180663421246,1154015480.0000002,452514527.6,1701500952.3999994,1.2,in_sample,0.0005
145,IC.CFE,0.1513391460500723,1.3137619795701405,2.1333749210945228,0.4559070931511471,342700400.00000036,147921313.88,528112419.45333374,1.2,in_sample,0.0005
146,IF.CFE,0.2185517390451785,2.0437405245293196,4.32063334439669,0.4663582459864172,432280080.0,150995897.34,614617515.9933316,1.2,in_sample,0.0005
147,IH.CFE,0.17516021461122364,1.5358480755976602,1.8359363877101404,0.4738500807650729,379035000.0,153597316.38,558771016.9533341,1.2,in_sample,0.0005
148,ALL,0.18445695241726587,2.0010311959469935,3.167373153859822,0.47064854388029037,1169841900.0000002,457633111.5,1712208788.4999988,1.3,in_sample,0.0005
149,IC.CFE,0.15528576991079093,1.3385816296866093,2.192635772015923,0.46061712275191224,349305240.00000036,149446702.8,533191870.53333277,1.3,in_sample,0.0005
150,IF.CFE,0.22201953561323626,2.061549225515756,4.369991669341703,0.47156522214689656,438422220.0,152674854.72,619080698.6133318,1.3,in_sample,0.0005
151,IH.CFE,0.17606555172777047,1.5349207290073896,1.8097484915863498,0.47976328674206237,382114440.0,155511553.98000002,559936219.3533342,1.3,in_sample,0.0005
152,ALL,0.18678141855712194,2.0161577952159395,3.189489715402356,0.4733791687731289,1181483100.0000005,460299289.46000004,1721183810.5399985,1.4,in_sample,0.0005
153,IC.CFE,0.15789066029352478,1.3556956500171156,2.2300526124885085,0.4627071215147423,353347080.00000036,150135952.4,536544460.9333328,1.4,in_sample,0.0005
154,IF.CFE,0.22521677045697733,2.077769087611323,4.44597222361365,0.47449020511849627,443486160.0,153623835.06,623195658.2733319,1.4,in_sample,0.0005
155,IH.CFE,0.1772368249208639,1.5386975434371417,1.80198749261501,0.48294017968614816,384649860.0,156539502.0,561443691.3333341,1.4,in_sample,0.0005
156,ALL,0.18752138612028768,2.0209910666101343,3.2035528104283597,0.4740161575451702,1184957440.0000005,460916532.48,1724040907.5199995,1.5,in_sample,0.0005
157,IC.CFE,0.15862461231884872,1.360114160634403,2.2404189737949474,0.46315540625793805,354434680.00000036,150278928.96000004,537489084.3733331,1.5,in_sample,0.0005
158,IF.CFE,0.2268675612258979,2.087681772599689,4.488069413354865,0.4753604590017415,445893660.0,153906706.20000002,625320287.1333315,1.5,in_sample,0.0005
159,IH.CFE,0.1770719848161161,1.536401360124908,1.7991454350195728,0.483532607375831,384629100.0,156730897.32,561231536.0133346,1.5,in_sample,0.0005
160,ALL,-0.02400511716000001,-1.1898729950550488,-1.0187431035964083,0.04856870620740257,-8511740.0,8825289.06,982662970.9399999,0.05,out_of_sample,0.0005
