,ADAUSDT,BNBUSDT,BTCUSDT,BTTUSDT,DASHUSDT,DOGEUSDT,EOSUSDT,ETCUSDT,ETHUSDT,LINKUSDT,LTCUSDT,NEOUSDT,QTUMUSDT,TRXUSDT,XLMUSDT,XMRUSDT,XRPUSDT,ZECUSDT
17049,0.542,327.6,24731.22,,56.3,0.07284,1.338,43.44,1992.38,9.316,63.61,12.06,4.289,0.07098,0.1269,165.1,0.3805,78.3
17050,0.553,330.5,24710.86,,56.2,0.07473,1.346,43.37,1994.06,9.365,63.66,12.08,4.295,0.07089,0.1269,165.6,0.3809,78.0
17051,0.5602,328.8,24651.64,,56.6,0.0739,1.345,45.18,2005.31,9.347,64.04,12.08,4.316,0.07067,0.1276,165.3,0.3828,78.0
17052,0.5582,327.6,24572.12,,56.5,0.07334,1.345,44.79,1995.78,9.235,63.76,12.06,4.285,0.07,0.1274,164.5,0.3808,77.8
17053,0.555,325.9,24404.68,,55.6,0.07288,1.33,44.52,1987.5,9.159,63.61,11.97,4.254,0.06974,0.1266,165.2,0.3793,76.7
17054,0.5596,328.8,24584.04,,56.1,0.0733,1.345,44.78,2002.01,9.191,64.28,12.09,4.293,0.07012,0.1275,165.2,0.3811,77.1
17055,0.5594,330.4,24498.92,,56.2,0.07297,1.352,44.67,1993.67,9.183,64.29,12.05,4.287,0.07016,0.1265,164.7,0.3802,76.9
17056,0.5588,331.3,24435.91,,56.1,0.07292,1.369,44.32,1985.99,9.144,64.21,12.02,4.272,0.07004,0.1268,164.2,0.3797,76.7
17057,0.5582,330.0,24441.92,,56.5,0.07313,1.357,44.15,1980.62,9.178,64.08,11.98,4.279,0.07,0.1267,165.1,0.3796,76.5
17058,0.5604,329.3,24461.56,,56.6,0.07309,1.354,44.06,1978.14,9.174,63.98,11.99,4.275,0.0698,0.1266,165.7,0.3796,76.7
17059,0.5623,328.5,24470.51,,57.1,0.07322,1.352,44.23,1981.86,9.15,64.09,12.02,4.289,0.06996,0.1268,166.3,0.3806,76.7
17060,0.56,328.1,24512.66,,57.2,0.07328,1.348,44.13,1988.51,9.177,65.4,12.06,4.308,0.06999,0.1271,165.3,0.3807,76.3
17061,0.5565,328.2,24482.84,,57.2,0.07388,1.35,44.16,1989.62,9.16,64.74,12.04,4.31,0.06995,0.1269,166.3,0.3805,76.3
17062,0.5586,328.8,24572.21,,57.4,0.07399,1.355,44.37,1999.68,9.204,64.89,12.07,4.339,0.0701,0.1272,167.1,0.3809,76.5
17063,0.5561,326.4,24453.92,,57.3,0.07363,1.346,43.8,1983.67,9.159,63.84,12.01,4.297,0.06991,0.1266,165.6,0.379,76.0
17064,0.5571,324.3,24398.56,,56.8,0.07319,1.344,43.51,1975.62,9.12,63.4,11.93,4.292,0.06973,0.126,165.3,0.3775,75.5
17065,0.5619,326.0,24486.13,,57.4,0.07356,1.352,43.81,1989.76,9.186,63.77,12.02,4.314,0.0701,0.1265,166.1,0.3791,76.0
17066,0.5615,326.2,24498.46,,57.3,0.07326,1.35,43.89,1987.01,9.183,63.99,12.01,4.304,0.07013,0.1269,165.6,0.379,76.1
17067,0.5589,325.3,24387.08,,56.9,0.0728,1.353,43.65,1978.67,9.155,63.69,11.97,4.293,0.06994,0.1269,164.8,0.3773,75.9
17068,0.5593,324.3,24441.38,,57.0,0.07293,1.35,43.55,1983.55,9.144,63.8,12.0,4.287,0.06997,0.1268,165.0,0.378,76.2
17069,0.5587,323.9,24364.89,,57.3,0.0727,1.342,43.09,1978.7,9.097,63.7,11.91,4.269,0.06977,0.1262,165.0,0.3771,75.9
17070,0.5847,327.5,24586.3,,57.4,0.074,1.355,43.46,1988.14,9.1,64.42,12.02,4.35,0.06991,0.1266,167.1,0.381,76.2
17071,0.5905,327.4,24595.77,,57.3,0.07372,1.355,43.31,1987.78,9.128,64.6,12.06,4.334,0.07007,0.1274,167.5,0.3837,76.9
17072,0.5905,326.9,24570.02,,57.3,0.07406,1.355,43.43,1985.82,9.179,64.72,12.12,4.331,0.07021,0.1276,167.5,0.384,76.8
17073,0.5884,327.1,24567.47,,57.2,0.07529,1.359,43.42,1991.89,9.17,64.82,12.11,4.319,0.07021,0.1276,167.1,0.3842,77.0
17074,0.5871,327.9,24588.64,,57.3,0.07712,1.367,43.77,1992.61,9.198,65.1,12.18,4.338,0.07036,0.1282,166.4,0.386,77.0
17075,0.5854,329.2,24676.74,,57.2,0.07817,1.366,43.77,1993.13,9.263,64.94,12.18,4.335,0.07046,0.1283,167.2,0.3854,77.1
17076,0.5876,329.7,24873.32,,57.5,0.07687,1.374,43.88,2016.75,9.35,65.41,12.13,4.328,0.07054,0.1282,167.4,0.3866,77.2
17077,0.5882,328.5,24657.09,,57.1,0.0799,1.37,43.59,1999.7,9.248,65.12,12.1,4.326,0.0706,0.1281,167.6,0.3866,76.9
17078,0.5886,329.5,24751.31,,57.3,0.07894,1.368,43.77,2008.67,9.259,65.29,12.16,4.343,0.07214,0.1289,167.9,0.3906,77.3
17079,0.5837,327.9,24621.34,,56.9,0.07839,1.36,43.36,1997.67,9.205,64.74,12.07,4.318,0.07159,0.1286,167.1,0.387,76.5
17080,0.581,327.4,24564.49,,56.7,0.07794,1.355,43.56,1990.15,9.124,64.56,12.02,4.302,0.07118,0.1286,167.2,0.385,76.2
17081,0.5817,324.8,24527.46,,56.6,0.0781,1.344,43.16,1985.94,9.039,64.38,11.94,4.264,0.07126,0.1284,166.4,0.3844,75.7
17082,0.5753,322.0,24477.07,,55.9,0.07735,1.325,42.11,1976.98,8.93,64.19,11.81,4.216,0.07074,0.127,165.0,0.3812,74.8
17083,0.5768,323.6,24514.5,,56.2,0.0778,1.33,42.3,1982.15,8.957,64.74,11.85,4.242,0.07093,0.1274,165.8,0.3811,75.1
17084,0.579,322.8,24524.54,,56.5,0.08101,1.34,42.33,1984.17,8.994,65.29,11.89,4.266,0.07124,0.1274,165.1,0.3827,75.2
17085,0.5658,317.5,24311.45,,55.5,0.07996,1.307,41.12,1941.13,8.754,63.54,11.64,4.181,0.07038,0.1257,163.3,0.3773,73.5
17086,0.5656,317.5,24226.46,,55.0,0.07884,1.3,40.94,1922.42,8.761,63.12,11.58,4.157,0.07023,0.1247,162.9,0.3764,73.4
17087,0.5686,319.2,24286.74,,55.5,0.07959,1.308,41.27,1930.03,8.816,63.59,11.58,4.177,0.07062,0.1255,163.7,0.3786,73.9
17088,0.568,319.2,24284.07,,55.1,0.08003,1.308,41.18,1931.42,8.837,63.4,11.53,4.18,0.07055,0.1254,162.9,0.3787,73.7
17089,0.5685,319.4,24312.41,,55.2,0.08067,1.31,41.37,1940.54,8.783,63.37,11.52,4.169,0.07045,0.1253,163.4,0.3789,73.7
17090,0.5705,318.8,24343.67,,55.2,0.08016,1.306,41.49,1948.35,8.812,63.44,11.49,4.172,0.07055,0.1253,164.0,0.3787,74.1
17091,0.57,318.8,24258.68,,54.9,0.08114,1.306,41.48,1932.75,8.765,63.1,11.52,4.169,0.07037,0.1256,164.1,0.3764,73.7
17092,0.5695,317.6,24305.24,,55.0,0.08168,1.306,41.54,1935.31,8.765,63.14,11.5,4.166,0.07036,0.1257,164.1,0.3757,73.8
17093,0.5671,315.9,24261.6,,55.1,0.08022,1.307,41.58,1931.99,8.693,63.08,11.48,4.181,0.07023,0.1257,164.2,0.3759,73.8
17094,0.5756,321.2,24645.14,,55.9,0.08068,1.333,42.89,1973.83,8.872,64.12,11.68,4.254,0.07071,0.1268,166.4,0.3793,74.3
17095,0.5789,326.5,24917.72,,56.6,0.08178,1.346,43.33,2000.15,9.017,64.86,11.74,4.255,0.07089,0.1281,167.8,0.3827,75.2
17096,0.5751,323.9,24867.39,,56.1,0.08036,1.337,42.87,1986.33,8.969,64.55,11.69,4.226,0.07042,0.1276,167.6,0.3817,74.7
17097,0.5734,323.3,24847.53,,56.0,0.07973,1.335,42.79,1983.09,8.946,64.19,11.68,4.216,0.06976,0.1275,167.7,0.3819,74.6
17098,0.569,322.6,24817.62,,55.7,0.07921,1.33,42.44,1969.86,8.89,64.0,11.63,4.211,0.06987,0.1271,166.9,0.3819,74.6
17099,0.5533,317.3,24135.23,,53.7,0.07708,1.283,41.14,1906.97,8.554,61.78,11.3,4.091,0.06915,0.124,164.9,0.3725,72.1
17100,0.5521,316.7,24027.05,,53.7,0.07599,1.272,40.87,1899.87,8.572,61.35,11.27,4.07,0.06889,0.1237,164.0,0.3698,72.4
17101,0.553,316.9,24042.7,,53.5,0.07554,1.267,41.01,1904.91,8.619,61.28,11.24,4.073,0.06893,0.1232,164.0,0.3682,72.8
17102,0.5542,318.0,24172.18,,53.6,0.07614,1.275,41.23,1910.02,8.636,61.48,11.3,4.091,0.06912,0.1236,164.4,0.3704,73.4
17103,0.5572,317.7,24267.62,,53.9,0.07654,1.277,41.12,1906.92,8.649,61.66,11.31,4.092,0.06911,0.1237,165.4,0.3711,73.9
17104,0.555,316.0,24049.48,,53.5,0.0757,1.259,40.85,1891.23,8.619,61.06,11.23,4.077,0.06847,0.1227,164.3,0.3681,73.4
17105,0.5523,315.0,23950.97,,53.2,0.07509,1.255,40.67,1877.01,8.569,60.91,11.11,4.056,0.06831,0.1221,162.8,0.3676,73.4
17106,0.5612,318.9,24155.97,,53.8,0.07672,1.274,41.26,1916.4,8.716,61.7,11.26,4.096,0.06862,0.1234,165.1,0.3719,75.5
17107,0.5592,318.4,24115.47,,53.7,0.07634,1.271,41.31,1902.8,8.631,61.46,11.24,4.097,0.06853,0.1233,164.7,0.3706,74.8
17108,0.5644,319.6,24226.0,,54.0,0.07733,1.281,41.72,1917.7,8.787,61.72,11.31,4.12,0.06871,0.1238,164.5,0.3725,74.6
17109,0.5654,319.8,24254.0,,54.0,0.07838,1.287,41.84,1929.07,8.843,62.03,11.36,4.134,0.06891,0.1241,166.0,0.374,74.6
17110,0.5603,318.1,24116.79,,53.6,0.07777,1.274,41.31,1903.23,8.735,61.05,11.27,4.1,0.06876,0.1232,163.8,0.3716,73.6
17111,0.559,318.6,24098.11,,53.5,0.07775,1.271,41.04,1896.65,8.679,60.76,11.26,4.085,0.06884,0.1231,163.6,0.3712,73.5
17112,0.5544,317.3,23982.54,,53.3,0.07706,1.269,40.97,1889.57,8.668,60.73,11.22,4.089,0.06892,0.1229,163.9,0.3723,73.2
17113,0.5556,318.3,24066.82,,53.5,0.07703,1.271,41.31,1903.44,8.696,60.85,11.24,4.096,0.06916,0.1235,163.8,0.374,73.6
17114,0.5523,318.7,24026.63,,53.4,0.07699,1.267,41.18,1903.5,8.675,60.57,11.23,4.09,0.06897,0.1231,163.3,0.3736,73.9
17115,0.5471,317.7,24013.72,,52.9,0.07638,1.26,41.09,1895.25,8.587,60.18,11.15,4.066,0.06872,0.1227,161.9,0.3744,73.3
17116,0.5499,319.5,24094.82,,53.2,0.07662,1.273,41.91,1899.06,8.646,60.67,11.28,4.097,0.06886,0.1235,163.1,0.3751,73.8
17117,0.5489,318.2,24011.6,,52.9,0.07679,1.27,41.08,1883.95,8.599,60.29,11.21,4.089,0.06872,0.1231,162.3,0.3737,73.2
17118,0.5599,320.3,24108.33,,53.1,0.07862,1.273,41.35,1898.75,8.692,61.02,11.24,4.093,0.06888,0.1233,164.5,0.3732,73.7
17119,0.5571,317.6,24046.18,,52.8,0.07853,1.259,40.98,1890.94,8.603,60.66,11.16,4.058,0.0687,0.1228,163.2,0.3704,73.2
17120,0.5555,318.3,24083.42,,52.7,0.07939,1.274,41.15,1887.71,8.674,60.77,11.21,4.066,0.06892,0.1228,164.4,0.3717,73.7
17121,0.5525,316.5,23957.47,,52.3,0.07915,1.262,40.75,1871.84,8.594,60.3,11.11,4.034,0.06864,0.1219,164.0,0.3712,73.1
17122,0.5512,316.4,23948.01,,52.2,0.07897,1.256,40.86,1870.94,8.571,60.39,11.11,4.014,0.06862,0.1216,164.0,0.371,72.7
17123,0.5532,316.8,23998.38,,52.6,0.08113,1.265,41.0,1880.32,8.587,60.54,11.17,4.028,0.06878,0.1221,166.3,0.3711,73.4
17124,0.5566,317.7,24066.93,,53.2,0.08183,1.27,41.14,1886.59,8.631,60.78,11.2,4.039,0.06901,0.1225,171.7,0.3729,73.7
17125,0.5603,316.9,23992.82,,53.0,0.0862,1.273,41.0,1879.81,8.615,60.71,11.21,4.043,0.06902,0.1224,173.0,0.3734,74.1
17126,0.5664,318.0,24082.75,,53.4,0.08805,1.291,41.33,1893.47,8.698,61.23,11.3,4.076,0.06924,0.1231,172.6,0.3769,75.1
17127,0.5627,316.7,24011.19,,53.4,0.0867,1.285,41.16,1888.92,8.611,60.98,11.23,4.055,0.06913,0.1227,171.5,0.3755,74.7
17128,0.5663,317.3,24038.03,,53.2,0.08571,1.292,41.43,1906.64,8.645,61.31,11.28,4.069,0.06904,0.1229,170.9,0.3766,75.0
17129,0.5568,316.0,23935.31,,53.4,0.08694,1.28,41.12,1889.88,8.561,60.83,11.2,4.038,0.06878,0.1223,169.5,0.3731,74.7
17130,0.5533,315.1,23896.55,,53.0,0.08766,1.285,40.89,1881.43,8.48,60.86,11.2,4.021,0.06874,0.1222,168.6,0.374,74.9
17131,0.5545,315.0,23716.08,,52.5,0.08482,1.285,40.8,1874.14,8.457,60.6,11.13,3.998,0.06985,0.1217,168.7,0.3727,75.3
17132,0.56,315.8,23901.27,,53.1,0.08445,1.303,41.02,1887.38,8.528,61.24,11.21,4.048,0.06983,0.1221,169.4,0.3733,75.7
17133,0.558,314.3,23809.79,,52.7,0.08429,1.323,40.88,1880.37,8.491,61.17,11.19,4.026,0.06981,0.1219,168.9,0.3733,75.5
17134,0.5627,314.6,23867.04,,52.8,0.08522,1.349,40.9,1878.18,8.508,61.0,11.19,4.024,0.06974,0.1221,169.1,0.374,76.1
17135,0.5591,313.8,23837.59,,52.7,0.08456,1.352,39.61,1870.91,8.484,60.99,11.14,3.986,0.06955,0.1217,170.0,0.3735,76.0
17136,0.561,315.5,23930.24,,52.7,0.08509,1.349,40.01,1879.34,8.494,61.12,11.18,4.001,0.06963,0.1219,171.1,0.3749,75.9
17137,0.5668,317.3,23979.93,,52.7,0.08571,1.355,40.28,1884.53,8.539,61.46,11.23,4.033,0.06968,0.1223,170.8,0.3766,76.5
17138,0.5621,316.8,23949.06,,52.4,0.08586,1.36,40.08,1879.76,8.521,61.32,11.18,4.026,0.06966,0.1219,170.2,0.3762,76.2
17139,0.5591,316.0,23847.95,,52.3,0.08634,1.356,39.91,1871.87,8.464,61.38,11.16,4.014,0.06944,0.1218,170.2,0.3754,75.8
17140,0.557,316.1,23854.74,,52.4,0.08677,1.382,39.89,1876.67,8.452,61.33,11.16,4.013,0.06974,0.1219,169.1,0.377,76.0
17141,0.5585,315.7,23903.11,,52.2,0.08658,1.388,40.07,1880.32,8.5,61.68,11.2,4.037,0.06974,0.122,169.0,0.3782,76.4
17142,0.5562,316.8,23942.92,,52.9,0.08487,1.485,40.21,1887.18,8.508,62.25,11.31,4.09,0.06981,0.1247,168.6,0.3857,76.3
17143,0.5638,317.3,23991.72,,53.3,0.08489,1.575,40.28,1893.12,8.545,62.86,11.5,4.104,0.07004,0.125,169.2,0.3834,76.7
17144,0.5776,317.7,24006.66,,53.9,0.08499,1.626,40.61,1896.0,8.631,63.75,11.6,4.145,0.07017,0.1262,169.1,0.387,77.0
17145,0.573,319.1,24068.29,,54.4,0.08631,1.613,40.94,1900.48,8.637,63.77,11.69,4.211,0.07031,0.1268,167.7,0.3868,77.1
17146,0.5772,321.3,24165.26,,54.8,0.08693,1.63,41.54,1924.59,8.688,64.33,11.77,4.221,0.07048,0.1268,167.4,0.3875,77.5
17147,0.5749,321.4,24403.86,,54.7,0.08713,1.618,42.03,1951.77,8.706,63.86,11.76,4.207,0.07086,0.1271,167.2,0.3858,77.3
17148,0.5565,315.9,23786.42,,53.3,0.08416,1.589,40.88,1890.39,8.442,61.88,11.47,4.091,0.07004,0.124,163.6,0.3774,75.6
17149,0.5571,316.0,23808.54,,53.6,0.08423,1.567,41.01,1884.38,8.481,62.23,11.51,4.115,0.07024,0.1238,162.6,0.3769,75.2
