Fut_code,Trade_DT,amount,close,high,low,open,position,position_range,twap,t_vwap,volume
JD.DCE,6/1/2020 12:00,2958144200,4197,4256,4174,4224,98998,2516,4211.933333,42118.51782,70131
JD.DCE,6/1/2020 16:00,1304871880,4191,4198,4165,4194,96668,3271,4188.055556,41880.43199,31186
JM.DCE,6/1/2020 8:00,3095436060,1174.5,1180.5,1154.5,1162,91683,3247,1172.116667,70326.73531,44086
JM.DCE,6/1/2020 12:00,2958304500,1173,1179,1164.5,1175,100539,9469,1173.077778,70385.84435,42039
JM.DCE,6/1/2020 16:00,918732600,1170,1174,1165,1172.5,103913,3358,1170.683333,70238.61491,13088
L.DCE,6/1/2020 8:00,2583490500,6550,6570,6515,6520,374722,3015,6545.041667,32727.64683,78956
L.DCE,6/1/2020 12:00,6751918425,6665,6680,6560,6580,392696,16073,6637.555556,33188.79578,203903
L.DCE,6/1/2020 16:00,2910221625,6685,6715,6655,6665,389983,7000,6686.611111,33435.09329,87022
MA.CZC,6/1/2020 8:00,8791696490,1694,1706,1681,1687,1391384,144910,1695.3,16944.40391,518656
MA.CZC,6/1/2020 12:00,13094470500,1713,1722,1698,1703,1417099,63876,1713.540741,17137.6125,764962
MA.CZC,6/1/2020 16:00,5056628670,1712,1719,1712,1713,1512352,94424,1715.766667,17159.82176,294725
M.DCE,6/1/2020 8:00,14386901450,2826,2831,2791,2799,1552741,17086,2814.15,28141.75997,511073
M.DCE,6/1/2020 12:00,16744772810,2785,2827,2776,2827,1563156,14399,2785.274074,27852.39724,600423
M.DCE,6/1/2020 16:00,5293623420,2789,2793,2783,2785,1563353,8457,2787.577778,27875.12783,189887
NI.SHF,6/1/2020 8:00,2397064920,100900,100990,99790,100020,40808,835,100227.5,100226.0289,23902
NI.SHF,6/1/2020 12:00,3235505260,102690,102850,100960,101050,38235,2525,102040.7407,102043.6401,31755
NI.SHF,6/1/2020 16:00,1669329960,102980,103700,102720,102720,36745,1713,103237.4444,103233.8888,16175
OI.CZC,6/1/2020 8:00,4860726640,7018,7033,6945,6978,109125,2455,6973.525,69760.57399,69608
