,tickers,normalize_method,normed_method,outlier_method,period,mean,median,range,IQR,IC,IC_2sigma,count_2sigma,normal_test_p_value
1,LH.DCE,None,ts_zscore,None,512,-0.4578899015767213,-0.8765740240418828,5.317652252914875,1.594790268776362,0.04033965708856258,-0.7195366439356486,3,3.060473315746881e-12
0,LH.DCE,None,minmax,None,1024,0.2617019659015879,0.16977696859353664,1.0,0.39938542106533853,0.02049540799480286,0.2966990539015491,4,1.3492124442506713e-16
1,LH.DCE,None,ts_zscore,None,1024,-0.4578899015767213,-0.8765740240418828,5.317652252914875,1.594790268776362,0.04033965708856258,-0.7195366439356486,3,3.060473315746881e-12
0,MA.CZC,None,minmax,None,20,0.5212538827894209,0.5402116402116401,1.0,0.684649933341535,-0.00020903893375865797,,0,1.0244624285248244e-32
1,MA.CZC,None,ts_zscore,None,20,0.10852933964672393,0.12731075576393622,6.829144308624075,2.1123377258550176,0.0003532263754519287,-0.018003032919523144,34,1.427416195767979e-14
0,MA.CZC,None,minmax,None,40,0.5092470365357749,0.4918831168831169,1.0,0.6239936910942472,0.01847805781992776,,0,1.193445597768384e-29
1,MA.CZC,None,ts_zscore,None,40,0.1515522944278891,0.10793536799993171,8.30023600661281,2.1296948229248818,0.01052931149868863,-0.14347459677849547,35,2.387248385082863e-12
0,MA.CZC,None,minmax,None,60,0.5016738902119822,0.49204773463918394,1.0,0.6300252630961828,0.015920579479895523,,0,3.698417438986495e-29
1,MA.CZC,None,ts_zscore,None,60,0.1425612454832526,0.10924417492746907,8.2171948637794,2.1588134890609076,0.017835159862904224,-0.0740112088013441,43,2.6720911594502184e-10
0,MA.CZC,None,minmax,None,90,0.48508535270987624,0.4482123679534493,1.0,0.6021723691120047,0.013462115451958395,,0,2.1521191015170934e-28
1,MA.CZC,None,ts_zscore,None,90,0.11101466233498523,-0.000436111248824261,8.0921394662298,2.159211228945233,0.01157126505179446,-0.044158211790263996,46,2.356389805502346e-10
