,BTCUSDT,ETHUSDT,APTUSDT,SOLUSDT,DOGEUSDT,XRPUSDT,GALAUSDT,ETCUSDT,BNBUSDT,GMTUSDT,LTCUSDT,MATICUSDT
5241,0.00969835703985622,-0.5126398947942518,,-0.31712773235640634,-0.0011969994106159065,0.11652307555119223,-0.31809455776543827,-0.2389291525270174,-0.009526652420523307,-0.14094377346444198,-0.07435374426163888,-0.7234738453944053
5242,0.010530021239107179,-0.5130913379272671,,-0.31938337145415074,0.003337152995410153,0.11490669624084726,-0.3229424347296642,-0.23460557837238283,-0.02007422872213893,-0.13800867182295928,-0.05869010040343592,-0.7234738453944053
5243,0.012313785503783037,-0.5173899871776754,,-0.32263418415732636,0.006540414498030889,0.11490669624084726,-0.3229424347296642,-0.22673972309349044,-0.020137678485788735,-0.13529893846072205,-0.06356023027356583,-0.7234738453944053
5244,0.015657816842133854,-0.5266126252068685,,-0.331358012671783,0.009878585760730307,0.10818265105526359,-0.3229424347296642,-0.22325935290866172,-0.028385624430019796,-0.13367749213059554,-0.06470215523278278,-0.7234738453944053
5245,0.017350230414338585,-0.526354876640595,,-0.32913414313879574,0.010601860749881342,0.10898414718136573,-0.3229424347296642,-0.22614960225835556,-0.030839766581484573,-0.1323824349322359,-0.061109145270345944,-0.7234738453944053
5246,0.015898337335893076,-0.526354876640595,,-0.3308676745900092,0.010601860749881342,0.11032104557708766,-0.3229424347296642,-0.21605710970255698,-0.0440847996940672,-0.1344302900734301,-0.060458209550248276,-0.7234738453944053
5247,0.011722402835317558,-0.526354876640595,,-0.327653830337846,0.006265347306689595,0.1127306841313046,-0.3229424347296642,-0.22270951500361102,-0.04284575747370356,-0.13961443522949435,-0.06419865515115908,-0.7234738453944053
5248,0.014673024464808115,-0.526354876640595,,-0.33112605256006833,0.002055126633054405,0.11112037817317255,-0.3229424347296642,-0.2252832471778894,-0.040519671191409756,-0.13548893311246024,-0.060607404743062476,-0.7234738453944053
5249,0.02139312845094321,-0.526354876640595,,-0.3355748909189413,-0.004450583935110997,0.10763699124927106,-0.3229424347296642,-0.2218339725787688,-0.04061249871786565,-0.12478507323571697,-0.06093271378665377,-0.7234738453944053
5250,0.020205270425800226,-0.526354876640595,,-0.3360670169031932,-0.0008596617863031453,0.1079040139462003,-0.3229424347296642,-0.22269988703691634,-0.04318096537421712,-0.12339440143426206,-0.059305639266640675,-0.7234738453944053
5251,0.01793876175403475,-0.526354876640595,,-0.33336165536851536,-0.0008596617863031453,0.10843820198038845,-0.3229424347296642,-0.22666553559116154,-0.04237431359958321,-0.12649236105396078,-0.0601178549911372,-0.7234738453944053
5252,0.022218633401072774,-0.526354876640595,,-0.35037768496161037,-0.007058306733686792,0.10549859749081048,-0.3229424347296642,-0.21137259671018294,-0.04122731130557866,-0.11384769753060042,-0.05507802406933582,-0.7234738453944053
5253,0.02423979105136942,-0.526354876640595,,-0.35037768496161037,-0.0040497107451480385,0.10549859749081048,-0.3229424347296642,-0.21804688123726956,-0.04042223312010107,-0.11892706260996544,-0.05426922432815173,-0.7234738453944053
5254,0.02423979105136942,-0.526354876640595,,-0.35037768496161037,0.002847832005247075,0.10949540004876412,-0.3229424347296642,-0.22866153782959875,-0.03683323525493598,-0.13275390796201825,-0.06526001146246563,-0.7234738453944053
5255,0.02713197956008473,-0.526354876640595,,-0.35037768496161037,0.005886466066887919,0.11457833209798829,-0.3229424347296642,-0.2250413174453797,-0.041765873908325646,-0.1297340632683167,-0.06738454161445118,-0.7234738453944053
5256,0.023510573988558714,-0.526354876640595,,-0.35037768496161037,-6.41870535763589e-05,0.11215832672019843,-0.3229424347296642,-0.22077143997229842,-0.02949707569287796,-0.12478782670917699,-0.06525548822434324,-0.7234738453944053
5257,0.021798871188333346,-0.526354876640595,,-0.35037768496161037,0.0009457682198329431,0.11376776878028438,-0.3229424347296642,-0.2060957175059247,-0.030874359688838116,-0.1260717984617984,-0.07032167550984736,-0.7234738453944053
5258,0.01842990957812496,-0.526354876640595,,-0.35037768496161037,0.0009457682198329431,0.11269307775395443,-0.3229424347296642,-0.21607030798005555,-0.026552917982328283,-0.11975082138873205,-0.06490117616687752,-0.7234738453944053
5259,0.01824098810505259,-0.526354876640595,,-0.35037768496161037,0.0009457682198329431,0.11135115612217772,-0.3229424347296642,-0.21839881479160728,-0.03277831393582098,-0.11932497235221551,-0.0631040841884426,-0.7234738453944053
5260,0.01671702322063784,-0.526354876640595,,-0.34942325881033376,-0.0004860759955164218,0.10893893419776057,-0.32570172705233913,-0.2203213782094976,-0.03406804217165682,-0.12049555870956363,-0.06196253167702703,-0.7234738453944053
5261,0.013009350695991517,-0.5196647213939356,,-0.33917296083655535,-0.0049184465988908466,0.1054629983688834,-0.32829156195036446,-0.23348698771858556,-0.0412629503904558,-0.11207876774429615,-0.05854177911146252,-0.7234738453944053
5262,0.00022349456890158326,-0.5140347443781719,,-0.333981832946041,-0.011039443040172014,0.0982687537645669,-0.3311976000517528,-0.23840596920006718,-0.045536846046346335,-0.1042604898784748,-0.05350931157899497,-0.7147133002938212
5263,-0.0031877190051140536,-0.5143579543145688,,-0.33233864045777806,-0.009058684692690444,0.10170790720372036,-0.3303927062977283,-0.23500309508023365,-0.04699594566029297,-0.1011155061275576,-0.051732538844380005,-0.7170720437268651
5264,-0.016786186025890104,-0.5379079468090552,,-0.3302294302398264,-0.01798978761301917,0.08631103966987363,-0.33973699500402765,-0.27174829509073983,-0.03926359459937789,-0.09275517589451343,-0.06882379972796582,-0.7078297009004276
5265,-0.015500966875295563,-0.5352906921061757,,-0.3360760158338395,-0.012650459244324619,0.0902326082973246,-0.3422908657143231,-0.28309811268295715,-0.04313031362786468,-0.0967970455183087,-0.07865258856753476,-0.7027184241460885
5266,-0.014180884183323084,-0.5376207320901143,,-0.3428979400869564,-0.015334454158860478,0.08839533795611731,-0.34038034191238065,-0.2852506342081724,-0.03952151908654555,-0.0966929872456761,-0.0795945037951643,-0.6996460647859869
5267,-0.018437335367148533,-0.5468571609718689,,-0.35644934195611533,-0.01801126452797841,0.08734739454506157,-0.35250348754964345,-0.28014020791130534,-0.044908662987202974,-0.09346751643098461,-0.0795945037951643,-0.701019110835839
5268,-0.016674090334035996,-0.5570097857831842,,-0.3532220482723901,-0.016887195397726984,0.08630054816976718,-0.351873069897949,-0.2740593167285975,-0.04878357595302518,-0.09232667428205277,-0.080692370796419,-0.7002787618141573
5269,-0.017947030203176007,-0.5533515056729377,,-0.34859670137137244,-0.03165720524440019,0.08394760699329651,-0.3477727702606679,-0.2661674887550235,-0.03982727186086865,-0.09709203220187046,-0.07928237549640338,-0.7027095375486744
5270,-0.01758261229866176,-0.5495131498890187,,-0.3434851772078037,-0.022785566763668275,0.0855125522202137,-0.3385882888671604,-0.2591974934189609,-0.04646067010819099,-0.10240066132646708,-0.07677217781833612,-0.7109731247930858
5271,-0.011269256070436495,-0.5390689507968219,,-0.33601203381686484,-0.0062820702601718015,0.09491694093494718,-0.32740081883359806,-0.27401810659573866,-0.051055413721497356,-0.11391175383379237,-0.0662342728167633,-0.7245400514034908
5272,-0.00909723717679034,-0.5350173563619884,,-0.3277767396992177,-0.0010204092817873711,0.09491694093494718,-0.3196426161505529,-0.2777789986157614,-0.053763439324648554,-0.11984018915032857,-0.06448574317123801,-0.7284386868810736
5273,-0.010054003057432759,-0.5364092156823537,,-0.33062371478818586,-0.004880309210307798,0.0930709493737657,-0.3246922985092432,-0.2853291780654489,-0.05033835909754403,-0.11739077487982785,-0.06528192151518719,-0.7227852839673966
5274,-0.007979513436141894,-0.5378330410264447,,-0.33133343799613457,-0.000465612542691618,0.09386063086889607,-0.32371985118347335,-0.2846167582126823,-0.049385070251023566,-0.1189843157275916,-0.06416815858758174,-0.7252717704538831
5275,-0.008427062373736027,-0.5434976765489001,,-0.33558875714507064,-0.0020390641232952422,0.09148971411441753,-0.32891128531715275,-0.28437911562713103,-0.04410089206361956,-0.11887791010937487,-0.07006175527442471,-0.7210450445408019
5276,-0.013920671976264454,-0.5510771743160059,,-0.3506546705160687,-0.011607758781964295,0.08518222396987074,-0.34327539119191064,-0.27081030804549366,-0.03811103814271022,-0.10962160624726192,-0.07481234909865275,-0.7080944725572058
5277,-0.005184741564332795,-0.5361157332959329,,-0.36712034769603163,-0.0031199953076397335,0.09040551986958345,-0.3295920180813299,-0.2810720608778938,-0.02283064443713867,-0.1160521354481896,-0.06251920489061491,-0.723969179567647
5278,-0.0037040368663462386,-0.5407791741804605,,-0.37136462970499173,0.0008748684389717765,0.09880667502841789,-0.3281401710092213,-0.27717742652616617,-0.022429595540023106,-0.12072057046145213,-0.061561809007417145,-0.7294904527082771
5279,-0.003691434313068953,-0.5400814984533867,,-0.3732590175809093,-0.00299277230017736,0.09668859189365475,-0.33282514677658814,-0.2804016263741307,-0.024065297039930655,-0.11752261715157053,-0.06092293342843613,-0.7267689199410226
5280,-0.0027882399456410356,-0.5386908031620444,,-0.3732590175809093,-0.005561265450862218,0.0985379974418713,-0.33362913455597387,-0.28471446495825736,-0.02335662349194112,-0.11157213367478802,-0.0630006064346692,-0.7239462079662098
